"clarity","city","color","cut","x","y","z","depth","table","price","carat"
SI1,Luxembourg,J,Good,6.26,6.19,3.98,63.9,60.0,3679,1.0
I1,Tel Aviv,E,Ideal,4.39,4.36,2.64,60.3,57.0,495,0.3
VS1,New York City,H,Premium,4.99,4.94,3.07,61.8,58.0,1221,0.47
VS1,Surat,H,Ideal,7.54,7.58,4.59,60.7,56.0,13839,1.59
SI1,Dubai,G,Good,6.32,6.28,4.01,63.7,60.0,5113,1.01
SI1,Kimberly,H,Ideal,4.48,4.46,2.8,62.6,56.0,628,0.34
VVS2,Zurich,E,Ideal,4.36,4.39,2.66,60.8,57.0,816,0.31
VS2,Kimberly,G,Ideal,5.82,5.85,3.57,61.2,56.0,3434,0.74
VS2,Surat,F,Ideal,4.42,4.4,2.76,62.6,55.0,854,0.33
VS2,London,I,Ideal,6.6,6.57,4.07,61.8,54.0,5455,1.08
SI1,Dubai,G,Ideal,5.9,5.85,3.66,62.3,57.0,2898,0.79
VVS2,Madrid,H,Ideal,4.34,4.31,2.66,61.5,57.0,776,0.3
VVS2,Zurich,I,Ideal,7.01,7.04,4.37,62.2,56.0,7887,1.33
SI1,Kimberly,H,Very Good,5.19,5.21,3.18,61.2,55.0,1008,0.51
SI2,Surat,D,Ideal,5.36,5.4,3.29,61.2,57.0,1342,0.58
VS2,Tel Aviv,H,Ideal,6.81,6.86,4.24,62.0,58.0,7623,1.22
VS2,London,H,Good,5.77,5.73,3.66,63.7,60.0,2440,0.78
VS1,Surat,I,Ideal,7.56,7.61,4.62,60.8,56.0,11152,1.62
VS2,Antwerp,G,Ideal,7.65,7.7,4.67,60.8,56.0,14456,1.65
VS1,New York City,F,Very Good,5.28,5.33,3.25,61.2,56.4,1975,0.55
SI1,Dubai,E,Ideal,7.67,7.64,4.65,60.7,55.0,9801,1.64
VS2,New York City,E,Premium,4.27,4.3,2.68,62.5,59.0,658,0.3
VS2,Paris,D,Ideal,4.81,4.78,2.96,61.7,56.0,1076,0.41
VVS2,Antwerp,D,Premium,4.26,4.3,2.67,62.4,58.0,752,0.3
VS2,Surat,G,Premium,6.72,6.7,4.0,59.6,60.0,6121,1.1
SI1,Paris,I,Ideal,6.37,6.46,4.06,63.3,57.0,4401,1.03
VS2,Tel Aviv,J,Fair,4.24,4.16,2.72,64.8,58.0,416,0.3
SI1,New York City,I,Premium,6.44,6.41,4.03,62.7,58.0,4227,1.02
VS2,London,E,Premium,5.31,5.28,3.27,61.8,56.0,1915,0.56
VS1,Antwerp,F,Very Good,7.25,7.29,4.55,62.6,57.0,14976,1.51
SI1,Surat,I,Premium,6.65,6.68,4.12,61.8,59.0,4536,1.13
SI1,Paris,I,Ideal,4.48,4.44,2.76,61.9,57.0,589,0.34
SI2,Luxembourg,H,Premium,6.93,6.84,4.05,58.8,61.0,4157,1.16
VS2,Kimberly,F,Very Good,4.73,4.79,2.84,59.7,57.0,752,0.38
SI1,Antwerp,G,Premium,6.52,6.48,3.93,60.5,60.0,5105,1.03
SI2,Amsterdam,E,Very Good,6.13,6.21,3.84,62.2,54.0,3715,0.9
SI1,Las Vegas,D,Very Good,5.02,5.05,3.16,62.8,58.0,1415,0.5
SI1,Tel Aviv,F,Ideal,4.31,4.34,2.69,62.2,54.2,499,0.3
VS1,Zurich,D,Ideal,5.54,5.55,3.41,61.5,56.0,2787,0.64
SI2,Surat,F,Fair,6.05,5.98,3.93,65.3,51.0,2996,0.91
VVS1,Luxembourg,G,Premium,7.02,7.01,4.24,60.4,59.0,10485,1.24
SI2,Madrid,I,Ideal,8.48,8.45,5.23,61.8,57.0,16329,2.3
VS1,Kimberly,E,Ideal,4.17,4.14,2.56,61.6,56.0,603,0.27
VVS2,Antwerp,J,Premium,6.4,6.36,3.8,59.6,61.0,3864,1.0
VS2,Kimberly,G,Ideal,5.73,5.68,3.59,62.9,56.0,2443,0.71
SI1,Kimberly,E,Premium,4.59,4.56,2.78,60.8,59.0,810,0.36
SI2,Surat,D,Ideal,4.34,4.32,2.69,62.1,57.0,593,0.31
SI1,Antwerp,H,Ideal,6.19,6.27,3.91,62.8,56.0,3988,0.93
VS2,London,D,Good,4.4,4.44,2.73,61.8,61.0,652,0.33
SI2,Surat,G,Premium,7.67,7.66,4.8,62.7,59.0,9664,1.77
SI2,Tel Aviv,E,Ideal,6.51,6.54,4.06,62.2,55.0,5223,1.06
SI2,New York City,G,Ideal,6.8,6.85,4.24,62.1,57.0,5226,1.21
VVS1,Kimberly,E,Ideal,4.29,4.32,2.68,62.3,55.0,826,0.3
VS2,Surat,I,Ideal,6.92,6.88,4.32,62.6,57.0,6401,1.27
SI2,Amsterdam,D,Very Good,6.21,6.25,3.89,62.4,60.0,4168,0.92
VS1,Madrid,I,Ideal,4.34,4.38,2.7,61.9,54.0,489,0.31
VS2,Zurich,H,Good,8.29,8.35,4.81,57.8,60.0,18561,2.01
VS1,Surat,G,Ideal,7.37,7.34,4.55,61.9,57.0,14674,1.51
VS2,Luxembourg,G,Very Good,7.89,7.99,4.8,60.5,59.0,18358,1.83
VS1,Madrid,F,Premium,4.57,4.63,2.87,62.4,59.0,933,0.38
VVS2,Antwerp,F,Premium,3.94,3.99,2.43,61.3,59.0,445,0.23
SI1,Surat,I,Ideal,6.24,6.29,3.89,62.1,55.0,3610,0.92
SI1,Antwerp,D,Premium,7.27,7.31,4.55,62.4,58.0,12069,1.5
VS1,Madrid,G,Very Good,4.41,4.44,2.75,62.1,55.0,645,0.32
SI2,New York City,F,Ideal,6.39,6.48,3.94,61.2,57.0,4372,1.0
VVS1,Kimberly,F,Very Good,4.39,4.43,2.62,59.4,57.0,779,0.31
SI2,Paris,F,Good,5.24,5.26,3.08,58.7,64.0,1350,0.52
SI2,Paris,H,Ideal,8.04,8.07,5.04,62.5,53.9,14998,2.01
VVS2,Surat,G,Ideal,4.32,4.36,2.7,62.2,55.0,565,0.31
SI1,Las Vegas,J,Very Good,5.94,5.99,3.64,61.0,59.0,2086,0.77
SI2,London,H,Very Good,6.75,6.82,4.06,59.8,59.0,4537,1.13
SI1,New York City,D,Ideal,4.36,4.39,2.74,62.6,55.0,589,0.32
SI1,Paris,E,Premium,8.24,8.19,5.03,61.2,58.0,16957,2.07
VS2,Kimberly,G,Premium,5.79,5.76,3.48,60.3,59.0,2443,0.71
VS2,Kimberly,F,Ideal,6.73,6.66,4.04,60.4,58.0,7275,1.11
SI2,Surat,F,Premium,6.45,6.41,3.93,61.1,59.0,4541,1.02
VS2,London,H,Ideal,7.5,7.46,4.6,61.5,56.0,11636,1.56
VS2,Amsterdam,I,Very Good,4.47,4.51,2.76,61.6,56.0,457,0.34
SI2,Amsterdam,G,Premium,6.29,6.11,3.89,62.7,60.0,3215,0.96
VS2,New York City,D,Premium,4.35,4.32,2.7,62.3,55.0,942,0.31
VS1,Las Vegas,G,Very Good,5.54,5.58,3.36,60.4,62.0,2060,0.64
VVS1,Kimberly,F,Premium,6.41,6.35,3.99,62.5,58.0,7882,1.01
VVS2,Antwerp,H,Ideal,4.48,4.54,2.82,62.5,57.0,706,0.35
SI2,Kimberly,F,Premium,5.66,5.61,3.52,62.5,60.0,2373,0.7
VS1,London,H,Ideal,4.35,4.32,2.69,62.1,54.0,675,0.3
VVS1,Antwerp,H,Ideal,5.78,5.81,3.53,61.1,56.0,3137,0.71
IF,Dubai,G,Ideal,4.38,4.42,2.68,61.1,57.0,871,0.31
I1,Kimberly,E,Ideal,8.52,8.46,5.21,61.4,54.0,9072,2.25
SI1,Las Vegas,I,Premium,6.74,6.71,4.22,62.8,56.0,5088,1.18
SI2,Tel Aviv,G,Very Good,6.82,6.76,4.29,63.2,58.0,6409,1.22
VS2,Surat,G,Ideal,7.65,7.58,4.78,62.8,57.0,12830,1.72
SI2,Las Vegas,F,Ideal,8.12,8.16,5.02,61.7,56.0,18394,2.01
SI1,Surat,G,Premium,6.55,6.52,3.93,60.1,60.0,5581,1.03
VS2,Madrid,F,Ideal,5.71,5.74,3.55,62.0,56.0,2671,0.7
SI1,Amsterdam,E,Good,6.23,6.28,4.02,64.3,59.0,5379,1.01
VS1,Paris,H,Fair,6.3,6.26,4.06,64.6,59.0,5242,1.0
VVS2,Surat,F,Ideal,6.66,6.74,4.1,61.2,56.0,10487,1.1
IF,Surat,D,Ideal,5.4,5.43,3.3,60.9,57.0,4208,0.59
VS2,Surat,H,Very Good,4.27,4.2,2.69,63.5,59.0,608,0.3
VS1,New York City,E,Ideal,5.29,5.32,3.25,61.3,55.0,1930,0.56
SI1,Amsterdam,F,Premium,6.19,6.13,3.8,61.7,62.0,3936,0.9
VS2,Madrid,E,Very Good,5.37,5.33,3.25,60.7,58.0,1732,0.57
SI2,Luxembourg,D,Ideal,5.76,5.8,3.54,61.2,57.0,2328,0.72
SI1,Kimberly,H,Fair,6.26,6.21,4.08,65.5,57.0,3511,1.0
VVS1,Zurich,G,Ideal,4.75,4.79,2.96,62.1,53.0,1043,0.4
SI2,Amsterdam,I,Premium,6.8,6.85,4.25,62.3,58.0,4831,1.22
IF,Madrid,G,Ideal,6.43,6.5,4.03,62.3,57.0,8955,1.02
VS2,New York City,H,Ideal,6.59,6.55,4.06,61.8,56.0,5625,1.08
IF,Kimberly,G,Premium,4.46,4.42,2.7,60.8,58.0,1052,0.33
VVS2,Amsterdam,E,Very Good,4.9,4.92,2.94,59.8,56.0,1167,0.42
SI1,Paris,F,Very Good,7.05,7.1,4.45,62.8,53.0,6597,1.36
VS1,London,F,Ideal,5.38,5.32,3.32,62.1,56.0,2088,0.58
SI1,London,G,Good,6.34,6.39,4.05,63.6,58.0,4964,1.02
VS2,Paris,E,Good,6.9,7.0,3.99,57.4,60.0,6937,1.19
SI2,Dubai,D,Good,7.85,7.98,5.11,64.6,55.0,15394,2.01
SI2,Luxembourg,F,Very Good,6.67,6.57,4.18,63.1,63.0,4915,1.15
SI2,Amsterdam,D,Premium,6.07,6.03,3.63,60.0,60.0,2853,0.79
VS2,Amsterdam,D,Premium,4.39,4.36,2.75,62.9,59.0,842,0.32
VS2,Tel Aviv,F,Ideal,4.38,4.35,2.69,61.6,56.0,749,0.31
VS1,Kimberly,F,Very Good,5.24,5.25,3.2,61.0,58.0,1813,0.54
VS2,Kimberly,D,Very Good,5.02,5.08,3.17,62.8,60.0,1627,0.5
SI2,Surat,H,Very Good,7.82,7.85,4.88,62.3,57.0,11416,1.86
VS2,Paris,H,Very Good,6.5,6.6,3.99,60.9,58.0,5447,1.04
VS2,Las Vegas,G,Ideal,7.27,7.2,4.4,60.8,55.0,10581,1.41
SI1,Tel Aviv,E,Ideal,4.32,4.35,2.67,61.6,54.0,499,0.3
VS1,Antwerp,H,Ideal,4.46,4.48,2.75,61.6,55.0,610,0.33
SI1,Zurich,D,Ideal,6.55,6.52,4.1,62.7,54.0,6055,1.06
SI2,Kimberly,I,Ideal,4.32,4.35,2.69,62.0,54.1,372,0.31
SI1,Antwerp,G,Good,6.04,6.12,3.91,64.3,60.0,3344,0.91
SI1,Tel Aviv,J,Very Good,5.78,5.82,3.62,62.4,56.0,2083,0.75
IF,Surat,F,Very Good,4.26,4.3,2.66,62.1,57.0,886,0.3
VVS1,Luxembourg,D,Ideal,4.82,4.79,2.91,60.6,57.0,1582,0.41
SI2,Surat,H,Premium,6.47,6.43,3.83,59.4,62.0,3083,1.01
VVS1,Tel Aviv,G,Very Good,6.4,6.43,4.04,63.0,58.0,7657,1.02
VS1,Las Vegas,G,Ideal,4.16,4.19,2.6,62.3,53.0,527,0.27
SI1,Madrid,F,Very Good,5.66,5.72,3.56,62.6,56.0,2196,0.7
VS2,Surat,I,Ideal,7.28,7.37,4.56,62.3,57.0,9297,1.51
SI2,Madrid,J,Ideal,8.33,8.29,5.22,62.8,57.0,13703,2.22
VS2,London,G,Premium,5.21,5.25,3.28,62.7,58.0,1422,0.54
SI2,Amsterdam,D,Premium,6.99,6.97,4.11,58.9,58.0,5283,1.23
SI1,London,E,Good,6.12,6.08,3.9,63.9,57.0,3795,0.9
SI1,Madrid,F,Fair,6.39,6.32,3.6,56.6,65.0,2882,0.88
SI2,Paris,G,Fair,5.8,5.74,3.38,58.6,56.0,2208,0.7
SI1,Zurich,H,Premium,4.34,4.31,2.71,62.7,58.0,558,0.31
SI2,Amsterdam,G,Ideal,6.95,6.99,4.26,61.1,55.0,6371,1.25
SI2,Tel Aviv,G,Premium,6.55,6.51,3.86,59.1,59.0,4242,1.01
SI2,Surat,F,Very Good,4.25,4.22,2.69,63.5,57.0,506,0.3
VS1,London,E,Very Good,4.29,4.35,2.57,59.5,59.0,487,0.28
SI2,Kimberly,F,Premium,5.15,5.09,3.13,61.1,59.0,1227,0.51
VS2,Surat,I,Ideal,5.14,5.17,3.19,61.9,58.0,1232,0.52
VVS1,Zurich,G,Premium,5.31,5.28,3.14,59.2,58.0,2153,0.52
SI2,Kimberly,D,Good,4.26,4.3,2.71,63.3,57.0,447,0.3
SI1,Kimberly,D,Very Good,5.08,5.11,3.17,62.2,58.0,1398,0.51
VVS2,Zurich,D,Premium,4.76,4.73,2.98,62.8,59.0,1241,0.42
VS2,Kimberly,H,Premium,7.78,7.74,4.78,61.6,60.0,14749,1.82
VS2,Surat,E,Very Good,5.83,5.85,3.44,58.9,60.0,2845,0.7
VVS2,New York City,G,Ideal,7.05,7.14,4.43,62.3,55.5,12207,1.37
SI2,Luxembourg,G,Premium,6.3,6.36,3.97,62.7,59.0,4095,1.0
SI2,Kimberly,G,Ideal,6.83,6.86,4.18,61.1,57.0,5722,1.2
VS1,Antwerp,E,Premium,6.42,6.38,3.97,62.0,59.0,7964,1.01
SI1,London,H,Ideal,5.07,5.11,3.14,61.7,58.0,1035,0.5
VS1,Surat,E,Premium,6.51,6.54,3.94,60.4,59.0,7744,1.0
IF,Las Vegas,F,Ideal,4.38,4.41,2.7,61.4,56.0,1061,0.31
VS2,Amsterdam,D,Very Good,4.63,4.66,2.94,63.3,58.0,845,0.4
VS2,Madrid,G,Very Good,4.38,4.41,2.73,62.3,55.0,544,0.32
VS2,Surat,F,Premium,7.43,7.38,4.62,62.4,59.0,14578,1.54
I1,Amsterdam,E,Premium,6.53,6.46,3.99,61.4,58.0,2964,1.05
VS2,Las Vegas,G,Premium,6.56,6.52,4.05,61.9,59.0,5821,1.05
VS1,Luxembourg,G,Good,6.34,6.28,4.03,63.9,55.0,6028,1.0
VS1,Dubai,I,Very Good,4.23,4.2,2.67,63.3,59.0,608,0.3
VS2,Paris,E,Very Good,4.24,4.26,2.65,62.4,57.0,658,0.3
VVS2,Kimberly,G,Good,6.49,6.52,3.96,60.9,56.0,7492,1.0
VS1,Antwerp,F,Premium,4.77,4.73,2.88,60.6,55.0,1092,0.39
SI1,Surat,G,Very Good,4.3,4.34,2.72,63.0,56.0,462,0.31
VS2,Amsterdam,G,Premium,4.35,4.39,2.7,61.8,58.0,435,0.31
SI1,London,F,Ideal,5.38,5.41,3.32,61.5,58.0,1646,0.6
SI2,Tel Aviv,G,Ideal,4.4,4.36,2.65,60.5,57.0,523,0.31
VS2,Kimberly,D,Very Good,4.22,4.25,2.65,62.6,61.0,710,0.3
VVS1,Surat,G,Ideal,4.79,4.74,2.96,62.1,55.0,1230,0.41
VS1,Antwerp,G,Premium,4.5,4.52,2.72,60.3,58.0,621,0.33
VS1,London,F,Very Good,5.66,5.76,3.53,61.8,59.0,2895,0.7
VVS1,Las Vegas,E,Very Good,4.17,4.21,2.6,62.1,57.0,707,0.28
VS1,Antwerp,I,Very Good,5.64,5.6,3.56,63.3,55.0,1995,0.7
VS1,Surat,D,Ideal,4.61,4.57,2.79,60.8,57.0,952,0.35
SI1,Kimberly,G,Ideal,6.47,6.44,3.94,61.0,57.0,5622,1.0
IF,Paris,F,Premium,5.89,5.85,3.56,60.6,60.0,4150,0.76
SI1,Zurich,G,Fair,6.32,6.27,3.97,43.0,59.0,3634,1.0
SI1,Surat,G,Very Good,6.29,6.33,3.95,62.6,59.0,4844,1.0
SI2,Dubai,D,Good,6.6,6.67,3.82,57.6,58.0,4177,1.03
VVS2,Luxembourg,F,Very Good,3.99,4.04,2.49,62.0,59.0,576,0.25
VS2,Kimberly,H,Ideal,6.73,6.7,4.06,60.5,57.0,5347,1.1
VVS1,Paris,G,Ideal,6.45,6.56,4.0,61.7,56.0,7708,1.03
SI1,Antwerp,J,Very Good,6.6,6.67,4.2,63.3,55.0,4173,1.14
VS1,Dubai,D,Ideal,6.58,6.61,4.09,61.9,56.0,10144,1.1
SI2,Luxembourg,F,Premium,5.84,5.8,3.52,60.5,57.0,2351,0.73
VS1,Surat,H,Ideal,5.75,5.79,3.48,60.3,59.0,2487,0.71
VVS1,Kimberly,D,Good,5.69,5.72,3.48,61.0,61.0,4407,0.7
VVS1,Antwerp,G,Ideal,7.02,7.06,4.38,62.2,54.0,12255,1.33
SI1,Antwerp,H,Premium,6.77,6.66,4.16,62.0,58.0,5506,1.15
VVS1,Zurich,F,Ideal,5.18,5.24,3.21,61.6,56.0,2896,0.53
SI2,New York City,F,Very Good,6.98,7.02,4.28,61.1,58.0,6149,1.3
VVS2,New York City,F,Premium,6.56,6.48,4.0,61.3,59.0,8693,1.05
VS2,Paris,G,Premium,5.37,5.41,3.22,59.7,59.0,1608,0.57
SI1,Las Vegas,D,Very Good,5.4,5.46,3.41,62.8,57.0,1885,0.63
SI2,Surat,E,Very Good,6.28,6.25,3.78,60.3,59.0,3638,0.91
VS2,Kimberly,D,Premium,6.78,6.72,4.16,61.6,60.0,8693,1.2
SI1,Antwerp,E,Premium,6.42,6.37,4.03,63.0,61.0,5077,1.01
SI1,Zurich,H,Premium,6.65,6.61,3.93,59.3,58.0,5161,1.05
VS2,Kimberly,F,Ideal,4.47,4.5,2.79,62.2,55.0,641,0.34
VS2,Antwerp,I,Premium,6.84,6.77,4.2,61.7,57.0,5439,1.19
SI1,Surat,D,Premium,5.32,5.28,3.11,58.7,58.0,1720,0.52
SI2,Paris,I,Good,5.08,5.11,3.24,63.6,58.0,942,0.53
VS2,Amsterdam,E,Ideal,6.65,6.7,4.08,61.0,57.0,9625,1.11
IF,New York City,G,Ideal,4.41,4.43,2.7,61.1,57.0,918,0.32
VS2,Antwerp,F,Ideal,4.6,4.57,2.82,61.5,55.0,807,0.36
SI2,Madrid,F,Ideal,6.49,6.46,4.0,61.8,56.0,4454,1.03
VS1,London,I,Premium,4.54,4.5,2.69,59.5,60.0,668,0.33
VS2,Paris,F,Very Good,5.67,5.71,3.55,62.4,57.0,2956,0.7
VS2,London,E,Ideal,4.46,4.38,2.74,62.0,55.0,900,0.32
SI1,Antwerp,H,Very Good,8.25,8.2,4.94,60.1,60.0,17476,2.01
VS1,Las Vegas,G,Ideal,4.39,4.43,2.7,61.2,56.0,645,0.32
SI2,London,G,Good,6.12,6.08,3.91,64.1,56.0,3246,0.9
VS2,Tel Aviv,F,Ideal,6.61,6.68,4.06,61.0,57.0,7781,1.08
VVS1,Las Vegas,H,Ideal,4.35,4.32,2.68,61.8,57.0,907,0.31
VS2,Antwerp,H,Premium,6.49,6.43,3.99,61.8,58.0,5241,1.02
VS2,Surat,E,Ideal,4.54,4.49,2.78,61.6,55.0,984,0.35
SI1,Dubai,F,Ideal,4.46,4.53,2.72,60.9,55.0,586,0.32
SI2,Surat,H,Premium,8.66,8.55,5.39,62.6,60.0,14659,2.53
SI1,Kimberly,E,Ideal,5.29,5.26,3.24,61.4,55.0,1668,0.55
IF,Kimberly,H,Ideal,5.34,5.37,3.3,61.6,57.0,2211,0.58
VS2,Amsterdam,E,Premium,5.23,5.2,3.16,60.6,58.0,1622,0.52
VVS1,Zurich,G,Good,5.8,5.82,3.4,58.5,62.0,3380,0.7
VS2,Paris,H,Ideal,5.2,5.24,3.2,61.3,55.0,1401,0.52
VVS1,Las Vegas,G,Ideal,4.3,4.34,2.71,62.7,54.0,764,0.3
VS1,New York City,F,Ideal,5.73,5.77,3.55,61.7,55.0,3041,0.71
VVS2,Kimberly,G,Ideal,4.72,4.77,2.97,62.6,53.0,917,0.4
SI2,Kimberly,J,Ideal,6.49,6.43,3.98,61.6,55.0,2611,1.02
VVS2,New York City,F,Very Good,4.4,4.47,2.77,62.5,59.0,810,0.33
SI2,Surat,F,Premium,6.32,6.27,3.96,62.9,59.0,4616,1.01
VVS2,Surat,F,Very Good,4.38,4.42,2.73,62.0,55.0,717,0.32
VS2,London,E,Very Good,7.27,7.31,4.53,62.1,60.0,14256,1.5
VS2,Kimberly,G,Good,6.38,6.41,4.04,63.2,57.0,6058,1.02
IF,Paris,E,Ideal,4.41,4.45,2.74,61.9,57.0,1129,0.33
SI1,Kimberly,D,Premium,5.61,5.57,3.38,60.5,58.0,2134,0.65
IF,Dubai,F,Ideal,4.37,4.46,2.64,59.8,58.0,873,0.3
SI2,Luxembourg,G,Premium,6.96,6.9,4.18,60.3,58.0,5529,1.21
VVS2,Kimberly,I,Ideal,5.65,5.69,3.55,62.7,54.0,2487,0.7
VS2,Kimberly,G,Premium,5.17,5.11,3.15,61.3,59.0,1443,0.51
VS2,Antwerp,D,Premium,7.33,7.29,4.58,62.7,59.0,16921,1.54
SI1,Madrid,F,Very Good,4.83,4.87,2.99,61.6,59.0,792,0.43
VVS1,Tel Aviv,I,Premium,4.44,4.41,2.74,61.9,60.0,780,0.33
VVS1,London,I,Good,6.05,6.09,3.79,62.4,61.0,3972,0.9
SI1,Amsterdam,E,Very Good,4.74,4.72,2.99,63.2,56.0,1015,0.41
IF,Tel Aviv,G,Ideal,4.33,4.35,2.68,61.9,56.0,871,0.31
SI1,Tel Aviv,F,Very Good,7.54,7.59,4.45,58.8,60.0,11650,1.54
VS2,New York City,G,Ideal,6.49,6.46,4.05,62.5,57.0,6709,1.04
SI1,Dubai,E,Ideal,5.53,5.49,3.4,61.7,54.0,2054,0.62
SI1,Antwerp,D,Very Good,6.15,6.11,3.89,63.5,57.0,4304,0.9
VS1,Dubai,H,Ideal,4.59,4.62,2.83,61.5,55.0,651,0.36
VVS1,Madrid,F,Ideal,4.32,4.31,2.68,62.1,55.0,1114,0.3
VS1,Amsterdam,I,Premium,7.22,7.17,4.43,61.6,59.0,7722,1.4
SI2,Antwerp,H,Very Good,7.67,7.72,4.68,60.8,56.0,10255,1.7
VS1,Madrid,G,Ideal,4.42,4.45,2.74,61.8,56.0,666,0.33
VS1,Kimberly,F,Ideal,6.53,6.55,4.05,61.9,57.0,7345,1.06
SI1,Kimberly,G,Very Good,4.78,4.81,2.84,59.2,61.0,702,0.4
SI2,Paris,J,Ideal,6.77,6.74,4.06,60.1,57.0,4624,1.1
VS2,Kimberly,H,Fair,6.05,6.01,3.95,65.5,57.0,3226,0.9
VVS2,Zurich,G,Premium,4.39,4.44,2.7,61.2,59.0,730,0.32
VS1,Tel Aviv,E,Ideal,4.45,4.38,2.77,62.7,57.0,1002,0.33
SI1,Luxembourg,E,Very Good,5.65,5.7,3.59,63.3,60.0,2523,0.73
